,STAD,READ,COAD,ESCA,HNSC
387090,0.0,23.0,69.0,0.0,0.0
310297,0.0,23.0,67.0,0.0,0.0
310298,0.0,26.0,76.0,0.0,0.0
131111,0.0,1.0,3.0,0.0,24.0
908340,0.0,4.0,7.0,0.0,0.0
84026,0.0,11.0,38.0,0.0,0.0
84030,0.0,16.0,40.0,0.0,18.0
89153,0.0,6.0,33.0,0.0,0.0
1261635,0.0,1.0,2.0,0.0,0.0
592978,0.0,34.0,97.0,0.0,0.0
106588,0.0,23.0,69.0,0.0,0.0
1111133,0.0,4.0,0.0,0.0,25.0
1111134,0.0,4.0,8.0,9.0,53.0
313439,0.0,8.0,0.0,0.0,34.0
1515615,0.0,2.0,0.0,0.0,16.0
1816676,0.0,1.0,1.0,0.0,0.0
328814,0.0,29.0,83.0,0.0,27.0
596085,0.0,7.0,20.0,0.0,0.0
1816694,0.0,3.0,13.0,0.0,0.0
43131,0.0,2.0,4.0,0.0,44.0
1581179,0.0,2.0,3.0,0.0,0.0
641148,0.0,6.0,0.0,0.0,0.0
329854,0.0,23.0,75.0,0.0,14.0
1105029,0.0,9.0,0.0,0.0,0.0
1870984,0.0,1.0,0.0,0.0,22.0
84112,0.0,13.0,52.0,0.0,0.0
46228,0.0,31.0,87.0,0.0,0.0
1870997,0.0,4.0,9.0,7.0,25.0
1871006,0.0,2.0,1.0,0.0,0.0
1805471,0.0,1.0,9.0,0.0,0.0
1871013,0.0,18.0,53.0,0.0,0.0
1759399,0.0,5.0,4.0,0.0,0.0
1871017,0.0,3.0,0.0,0.0,22.0
53419,0.0,4.0,10.0,1.0,6.0
1871020,0.0,3.0,4.0,0.0,0.0
261299,0.0,6.0,34.0,0.0,0.0
1898676,0.0,2.0,1.0,0.0,0.0
53442,0.0,1.0,7.0,0.0,33.0
53443,0.0,7.0,39.0,0.0,0.0
203,0.0,12.0,33.0,0.0,0.0
1608908,0.0,2.0,0.0,0.0,0.0
556258,0.0,4.0,6.0,0.0,0.0
67825,0.0,11.0,34.0,0.0,0.0
626930,0.0,4.0,6.0,0.0,12.0
626931,0.0,8.0,12.0,0.0,0.0
626929,0.0,2.0,3.0,0.0,0.0
301302,0.0,33.0,85.0,6.0,25.0
1609975,0.0,5.0,10.0,0.0,19.0
1835254,0.0,3.0,0.0,0.0,0.0
228603,0.0,5.0,9.0,0.0,0.0
626940,0.0,10.0,33.0,0.0,0.0
290053,0.0,10.0,54.0,0.0,0.0
33030,0.0,2.0,3.0,0.0,39.0
338188,0.0,27.0,90.0,0.0,17.0
33036,0.0,5.0,0.0,0.0,23.0
33038,0.0,26.0,77.0,0.0,12.0
33039,0.0,19.0,77.0,0.0,0.0
33043,0.0,16.0,51.0,0.0,0.0
1305,0.0,4.0,5.0,0.0,60.0
1702170,0.0,1.0,0.0,0.0,0.0
285,0.0,6.0,0.0,0.0,0.0
189723,0.0,3.0,5.0,0.0,0.0
1322,0.0,18.0,57.0,0.0,0.0
938289,0.0,4.0,5.0,7.0,25.0
938293,0.0,6.0,0.0,6.0,20.0
1334,0.0,3.0,0.0,0.0,0.0
1338,0.0,8.0,21.0,1.0,0.0
165179,0.0,27.0,60.0,0.0,0.0
83262,0.0,1.0,0.0,0.0,0.0
239935,0.0,29.0,57.0,0.0,0.0
281920,0.0,13.0,16.0,6.0,44.0
1676614,0.0,5.0,15.0,0.0,0.0
1579341,0.0,6.0,7.0,0.0,0.0
1579342,0.0,6.0,9.0,0.0,0.0
1579348,0.0,4.0,7.0,0.0,0.0
76123,0.0,5.0,10.0,0.0,0.0
386414,0.0,13.0,31.0,18.0,79.0
88431,0.0,32.0,99.0,0.0,0.0
630129,0.0,3.0,0.0,0.0,0.0
28026,0.0,7.0,18.0,0.0,0.0
1477000,0.0,3.0,0.0,5.0,13.0
1203593,0.0,5.0,19.0,0.0,0.0
28052,0.0,16.0,46.0,0.0,0.0
1163671,0.0,2.0,4.0,0.0,0.0
439703,0.0,8.0,15.0,0.0,0.0
